Year,Total Budget Received,Citation,Total Budget Requested,Citation,FOIA Budget Request
2023,"308,500,000,000",Department of Veterans Affairs FY 2024 Budget in Brief. 2023 at https://www.va.gov/budget/docs/summary/fy2024-va-budget-in-brief.pdf Page 3.,"301,396,000,000",Department of Veterans Affairs FY 2023 Budget in Brief. 2022 at https://www.va.gov/budget/docs/summary/archive/fy-2023-va-budget-submission.zip Page 4.,
2022,"270,682,000,000",Department of Veterans Affairs FY 2023 Budget in Brief. 2022 at https://www.va.gov/budget/docs/summary/archive/fy-2023-va-budget-submission.zip Page 4.,"270,682,000,000",Department of Veterans Affairs FY 2022 Budget in Brief. 2021 at https://www.va.gov/budget/docs/summary/archive/FY-2022-VA-BudgetSubmission.zip Page 4.,
2021,"245,404,000,000",Department of Veterans Affairs FY 2023 Budget in Brief. 2022 at https://www.va.gov/budget/docs/summary/archive/fy-2023-va-budget-submission.zip Page 4.,"243,257,000,000",Department of Veterans Affairs FY 2021 Budget in Brief. 2020 at https://www.va.gov/budget/docs/summary/archive/FY-2021-VA-BudgetSubmission.zip Page 3.,
2020,"220,188,000,000",Department of Veterans Affairs FY 2022 Budget in Brief. 2021 at https://www.va.gov/budget/docs/summary/archive/FY-2022-VA-BudgetSubmission.zip Page 4.,"220,204,000,000",Department of Veterans Affairs FY 2020 Budget in Brief. 2019 at https://www.va.gov/budget/docs/summary/archive/FY-2020-VA-BudgetSubmission.zip Page 3.,
2019,"201,447,000,000",Department of Veterans Affairs FY 2021 Budget in Brief. 2020 at https://www.va.gov/budget/docs/summary/archive/FY-2021-VA-BudgetSubmission.zip Page 3.,"198,590,359,000",Department of Veterans Affairs FY 2019 Budget in Brief. 2018 at https://www.va.gov/budget/docs/summary/archive/FY-2019-VA-BudgetSubmission.zip Page 3.,
2018,"197,468,000,000",Department of Veterans Affairs FY 2020 Budget in Brief. 2019 at https://www.va.gov/budget/docs/summary/archive/FY-2020-VA-BudgetSubmission.zip Page 3.,"187,146,961,000",Department of Veterans Affairs FY 2019 Budget in Brief. 2018 at https://www.va.gov/budget/docs/summary/archive/FY-2019-VA-BudgetSubmission.zip Page 3.,
2017,"182,286,378,000",Department of Veterans Affairs FY 2019 Budget in Brief. 2018 at https://www.va.gov/budget/docs/summary/archive/FY-2019-VA-BudgetSubmission.zip Page 3.,"182,361,913,000",Department of Veterans Affairs FY 2017 Budget in Brief. 2016 at https://www.va.gov/budget/docs/summary/archive/FY-2017_VA-BudgetSubmission.zip Page 13.,
2016,"167,484,033,000",Department of Veterans Affairs FY 2017 Budget in Brief. 2016 at https://www.va.gov/budget/docs/summary/archive/FY-2017_VA-BudgetSubmission.zip Page 13.,"168,802,097,000",Department of Veterans Affairs FY 2016 Budget in Brief. 2015 at https://www.va.gov/budget/docs/summary/archive/FY-2016_VA-BudgetSubmission.zip Page 9.,
2015,"163,974,704,000",Department of Veterans Affairs FY 2017 Budget in Brief. 2016 at https://www.va.gov/budget/docs/summary/archive/FY-2017_VA-BudgetSubmission.zip Page 13.,"163,922,000,000",Department of Veterans Affairs FY 2015 Budget in Brief. 2014 at https://www.va.gov/budget/docs/summary/archive/FY-2015_VA-BudgetSubmission.zip Page 10.,
2014,"168,881,666,000",Department of Veterans Affairs FY 2016 Budget in Brief. 2015 at https://www.va.gov/budget/docs/summary/archive/FY-2016_VA-BudgetSubmission.zip Page 9.,"152,667,000,000",Department of Veterans Affairs FY 2014 Budget in Brief. 2013 at https://www.va.gov/budget/docs/summary/archive/FY-2014_VA-BudgetSubmission.zip Page 9.,
2013,"139,012,000,000",Department of Veterans Affairs FY 2015 Budget in Brief. 2014 at https://www.va.gov/budget/docs/summary/archive/FY-2015_VA-BudgetSubmission.zip Page 10.,"140,332,000,000",Department of Veterans Affairs FY 2013 Budget in Brief. 2012 at https://www.va.gov/budget/docs/summary/archive/FY-2013_VA-BudgetSubmission.zip Page 8.,
2012,"126,781,000,000",Department of Veterans Affairs FY 2014 Budget in Brief. 2013 at https://www.va.gov/budget/docs/summary/archive/FY-2014_VA-BudgetSubmission.zip Page 9.,"132,166,000,000",Department of Veterans Affairs FY 2012 Budget in Brief. 2011 at https://www.va.gov/budget/docs/summary/archive/FY-2012_VA-BudgetSubmission.zip Page 6.,
2011,"125,487,000,000",Department of Veterans Affairs FY 2013 Budget in Brief. 2012 at https://www.va.gov/budget/docs/summary/archive/FY-2013_VA-BudgetSubmission.zip Page 8.,"125,004,000,000",Department of Veterans Affairs FY 2011 Budget in Brief. 2010 at https://www.va.gov/budget/docs/summary/archive/FY-2011_VA-BudgetSubmission.zip Page 6.,
2010,"127,207,000,000",Department of Veterans Affairs FY 2012 Budget in Brief. 2011 at https://www.va.gov/budget/docs/summary/archive/FY-2012_VA-BudgetSubmission.zip Page 6.,"112,844,007,000",Department of Veterans Affairs FY 2010 Budget in Brief. 2009 at https://www.va.gov/budget/docs/summary/archive/FY-2010_VA-BudgetSubmission.zip Page 1B-1.,