Year,Total Budget Received,Citation,Total Budget Requested,Citation,FOIA Budget Request,,OHSA_foiacost,OSEC_foiacost,OIG_foiacost,WHD_foiacost,,OSHA_ratio,OSEC_ratio,OIG_ratio,WHD_ratio,,OSHA_backlog,OSEC_backlog,OIG_backlog,WHD_backlog,,OSHA_budget,citation_OSHA_budget,,OSEC_budget,citation_OSEC_budget,,OIG_budget,citation_OIG_budget,,WHD_budget,citation_WHD_budget
2023,"97,500,726,000",Department of Labor FY 2024 Budget in Brief. 2023 at https://www.dol.gov/sites/dolgov/files/general/budget/2024/FY2024BIB.pdf Page 74.,"75,581,927,000",Department of Labor FY 2023 Budget in Brief. 2022 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2023BIB_ETA.pdf Page 67.,,,,,,,,0,0,0,0,,,,,,,653383000,"https://www.dol.gov/sites/dolgov/files/general/budget/2025/CBJ-2025-V2-12.pdf, 4",,32658000,"CBJ-2025-V3-02.pdf (dol.gov), 31",,97859000,"CBJ-2025-V3-04.pdf (dol.gov), 4",,313408000,"https://www.dol.gov/sites/dolgov/files/general/budget/2025/CBJ-2025-V2-09.pdf, 3"
2022,"128,897,816,000",Department of Labor FY 2023 Budget in Brief. 2022 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2023BIB_ETA.pdf Page 67.,"105,815,172,000",Department of Labor FY 2022 Budget in Brief. 2021 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2022BIB_ETA.pdf Page 66.,,,5993705,438979,330000,748060,,0.009448190032,0.01408880544,0.003611016884,0.002437693892,,715,128,42,349,,634376000,"CBJ-2024-V2-12.pdf (dol.gov), 5",,31158000,"CBJ-2024-V3-02.pdf (dol.gov), 35",,91387000,"CBJ-2024-V3-04.pdf (dol.gov), 4",,306872000,"CBJ-2024-V2-09.pdf (dol.gov), 3"
2021,"458,773,511,000",Department of Labor FY 2023 Budget in Brief. 2022 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2023BIB_ETA.pdf Page 67.,"41,705,903,000",Department of Labor FY 2021 Budget Summary Tables. 2020 at https://www.dol.gov/sites/dolgov/files/general/budget/2021/CBJ-2021-V1-02.pdf  Page 9.,,,6181660,416076,421913,713151,,0.008865937981,0.01375457851,0.004617227341,0.002486969713,,705,113,58,191,,697237000,"CBJ-2023-V2-12.pdf (dol.gov), 5",,30250000,"CBJ-2023-V3-02.pdf (dol.gov), 27",,91378000,"CBJ-2023-V3-04.pdf (dol.gov), 3",,286755000,"CBJ-2023-V2-09.pdf (dol.gov), 2"
2020,"504,522,107,000",Department of Labor FY 2022 Budget in Brief. 2021 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2022BIB_ETA.pdf Page 66.,"39,585,586,000",Department of Labor FY 2020 Budget Summary Tables. 2019 at https://www.dol.gov/sites/dolgov/files/general/budget/2020/CBJ-2020-V1-02.pdf Page 6.,,,6438507,376430,158000,974463,,0.01101874648,0.01244396694,0.001735653397,0.003461594205,,759,138,55,530,,584323000,"CBJ-2022-V2-12.pdf (dol.gov), 6",,30250000,"CBJ-2022-V3-02.pdf (dol.gov), 27",,91032000,"CBJ-2022-V3-04.pdf (dol.gov), 3",,281507000,"https://www.dol.gov/sites/dolgov/files/general/budget/2022/CBJ-2022-V2-09.pdf, 2"
2019,"40,511,765,000",Department of Labor FY 2021 Budget Summary Tables. 2020 at https://www.dol.gov/sites/dolgov/files/general/budget/2021/CBJ-2021-V1-02.pdf  Page 9.,"39,615,687,000",Department of Labor FY 2019 Budget Summary Tables. 2018 at https://www.dol.gov/sites/dolgov/files/general/budget/2019/CBJ-2019-V1-02.pdf Page 6.,,,6061079,171393,152000,1134082,,0.01083870374,0.005665884298,0.001689696188,0.004056899808,,208,58,45,541,,559207000,"CBJ-2021-V2-12.pdf (dol.gov), 6",,30250000,"CBJ-2021-V3-02.pdf (dol.gov), 23",,89957000,"CBJ-2021-V3-04.pdf (dol.gov), 3",,279544000,"CBJ-2021-V2-09.pdf (dol.gov), 2"
2018,"41,810,678,000",Department of Labor FY 2020 Budget Summary Tables. 2019 at https://www.dol.gov/sites/dolgov/files/general/budget/2020/CBJ-2020-V1-02.pdf Page 6.,"43,646,295,000",Department of Labor FY 2018 Budget Summary Tables. 2017 at https://www.dol.gov/sites/dolgov/files/general/budget/2018/CBJ-2018-V1-02.pdf Page 13.,,,5040810,96970,145000,1063575,,0.009094551904,0.003287118644,0.00162306771,0.003747819652,,199,7,40,390,,554267000,"CBJ-2020-V2-12.pdf (dol.gov), 6",,29500000,"CBJ-2020-V3-02.pdf (dol.gov), 21",,89337000,"CBJ-2020-V3-04.pdf (dol.gov), 3",,283785000,"CBJ-2020-V2-09.pdf (dol.gov), 2"
2017,"43,698,385,000",Department of Labor FY 2019 Budget Summary Tables. 2018 at https://www.dol.gov/sites/dolgov/files/general/budget/2019/CBJ-2019-V1-02.pdf Page 6.,"42,783,532,000",Department of Labor FY 2017 Budget in Brief. 2016 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2017_BIB_ETA_Excerpts.pdf Page 61.,,,5118860,72500,141000,894942.95,,0.009228725035,0.0024465967,0.001600999205,0.003101141605,,115,1,24,281,,554666000,"CBJ-2019-V2-12.pdf (dol.gov), 4",,29633000,"CBJ-2019-V3-02.pdf (dol.gov), 21",,88070000,"CBJ-2019-V3-04.pdf (dol.gov), 3",,288585000,"CBJ-2019-V2-09.pdf (dol.gov), 2"
2016,"45,958,998,000",Department of Labor FY 2018 Budget Summary Tables. 2017 at https://www.dol.gov/sites/dolgov/files/general/budget/2018/CBJ-2018-V1-02.pdf Page 13.,"49,747,630,000",Department of Labor FY 2016 Budget Summary Tables. 2015 at https://www.dol.gov/sites/dolgov/files/general/budget/2016/CBJ-2016-V1-02.pdf Page 10.,,,5037985,32863,138000,789229,,0.009077761221,0.001059754918,0.001592871324,0.002755235698,,137,7,33,349,,554981000,"CBJ-2018-V2-12.pdf (dol.gov), 3",,31010000,"CBJ-2018-V3-02.pdf (dol.gov), 21",,86636000,"CBJ-2018-V3-04.pdf (dol.gov), 3",,286447000,"CBJ-2018-V2-09.pdf (dol.gov), 2"
2015,"42,158,473,000",Department of Labor FY 2017 Budget in Brief. 2016 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2017_BIB_ETA_Excerpts.pdf Page 61.,"53,556,682,000",Department of Labor FY 2015 Budget Summary Tables. 2014 at https://www.dol.gov/sites/dolgov/files/general/budget/2015/CBJ-2015-V1-02.pdf Page 10.,,,5855109,32643,133000,548136,,0.0105763488,0.001052660432,0.001604845911,0.001921181023,,97,7,39,259,,553604000,"CBJ-2017-V2-12.pdf (dol.gov), 6",,31010000,"CBJ-2017-V3-02.pdf (dol.gov), 27",,82874000,"CBJ-2017-V3-04.pdf (dol.gov), 3",,285312000,"CBJ-2017-V2-09.pdf (dol.gov), 2"
2014,"54,985,682,000",Department of Labor FY 2016 Budget Summary Tables. 2015 at https://www.dol.gov/sites/dolgov/files/general/budget/2016/CBJ-2016-V1-02.pdf Page 10.,"67,515,331,000",Department of Labor FY 2014 Budget Summary Tables. 2013 at https://www.dol.gov/sites/dolgov/files/general/budget/2014/CBJ-2014-V1-02.pdf Page 9.,,,5740146.26,40100,131057,1600000,,0.01036099431,0.001293131248,0.001617747988,0.00571220484,,109,5,15,262,,554015000,"CBJ-2016-V2-12.pdf (dol.gov), 7",,31010000,"CBJ-2016-V3-02.pdf (dol.gov), 25",,81012000,"CBJ-2016-V3-04.pdf (dol.gov), 3",,280102000,"CBJ-2016-V2-09.pdf (dol.gov), 2"
2013,"81,548,138,000",Department of Labor FY 2015 Budget Summary Tables. 2014 at https://www.dol.gov/sites/dolgov/files/general/budget/2015/CBJ-2015-V1-02.pdf Page 10.,"67,313,931,000",Department of Labor FY 2013 Budget Summary Tables. 2012 at https://www.dol.gov/sites/dolgov/files/general/budget/2013/CBJ-2013-V1-02.pdf  Page 9.,,,3774281.72,15054,127900,742000,,0.007012617161,0.0004854563044,0.001606945422,0.002770579581,,158,4,17,251,,538213000,"CBJ-2015-V2-12.pdf (dol.gov), 7",,31010000,"CBJ-2015-V3-02.pdf (dol.gov), 23",,79592000,"CBJ-2015-V3-04.pdf (dol.gov), 3",,267814000,"CBJ-2015-V2-09.pdf (dol.gov), 2"
2012,"104,547,842,000",Department of Labor FY 2014 Budget Summary Tables. 2013 at https://www.dol.gov/sites/dolgov/files/general/budget/2014/CBJ-2014-V1-02.pdf Page 9.,"106,202,372,000",Department of Labor FY 2012 Budget Summary Tables. 2011 at https://www.dol.gov/sites/dolgov/files/general/budget/2012/CBJ-2012-V1-02.pdf Page 9.,,,4100320,15054,126000,742000,,0.007239163289,0.0004600574537,0.001463397638,0.002677521092,,174,0,8,319,,566408000,"CBJ-2014-V2-12.pdf (dol.gov), 4",,32722000,"CBJ-2014-V3-02.pdf (dol.gov), 25",,86101000,"CBJ-2014-V3-04.pdf (dol.gov), 4",,277122000,"CBJ-2014-V2-09.pdf (dol.gov), 3"
2011,"129,707,515,000",Department of Labor FY 2013 Budget Summary Tables. 2012 at https://www.dol.gov/sites/dolgov/files/general/budget/2013/CBJ-2013-V1-02.pdf  Page 9.,"79,982,248,000",Department of Labor FY 2011 Budget Summary Tables. 2010 at https://www.dol.gov/sites/dolgov/files/general/budget/2011/CBJ-2011-V1-02.pdf  Page 9.,,,5091224.8,15074,126000,721334,,0.00909366508,0.0004580509891,0.001472186197,0.002631491777,,134,1,11,219,,559865000,"CBJ-2013-V2-12.pdf (dol.gov), 4",,32909000,"CBJ-2013-V3-02.pdf (dol.gov), 27",,85587000,"CBJ-2013-V3-04.pdf (dol.gov), 3",,274116000,"CBJ-2013-V2-09.pdf (dol.gov), 2"
2010,"178,366,375,000",Department of Labor FY 2012 Budget Summary Tables. 2011 at https://www.dol.gov/sites/dolgov/files/general/budget/2012/CBJ-2012-V1-02.pdf Page 9.,"104,582,126,000",Department of Labor FY 2010 Budget Summary Tables. 2009 at https://www.dol.gov/sites/dolgov/files/general/budget/2010/CBJ-2010-V1-02.pdf Page 9.,,,5632203,,126000,678000,,0.009979487152,0,0.001452583524,0.002766872618,,198,,9,90,,564378000,"CBJ-2012-V2-11.pdf (dol.gov), 4",,33200000,"CBJ-2012-V3-02.pdf (dol.gov), 25",,86742000,"CBJ-2012-V3-04.pdf (dol.gov), 3",,245042000,"CBJ-2012-V2-03.pdf (dol.gov), 3"