Year,Total Budget Received,Citation,Total Budget Requested,Citation,FOIA Budget Request
2023,"73,300,000,000",Department of Housing and Urban Development FY 2024 Budget in Brief. 2023 at https://www.hud.gov/sites/dfiles/CFO/documents/2024-Budget-in-Brief-Final.pdf Page 1.,"71,900,000,000",Department of Housing and Urban Development FY 2023 Budget in Brief. 2022 at https://www.hud.gov/sites/dfiles/CFO/documents/2023_BudgetInBriefFINAL.pdf  Page 2.,
2022,"60,400,000,000",Department of Housing and Urban Development FY 2023 Budget in Brief. 2022 at https://www.hud.gov/sites/dfiles/CFO/documents/2023_BudgetInBriefFINAL.pdf  Page 2.,"68,700,000,000",Department of Housing and Urban Development FY 2022 Budget in Brief. 2021 at https://www.hud.gov/sites/dfiles/CFO/documents/2022_Budget_in_Brief_FINAL.pdf  Page 2.,
2021,"59,700,000,000",Department of Housing and Urban Development FY 2023 Budget in Brief. 2022 at https://www.hud.gov/sites/dfiles/CFO/documents/2023_BudgetInBriefFINAL.pdf  Page 2.,"47,900,000,000",Department of Housing and Urban Development FY 2021 Budget in Brief. 2020 at https://www.hud.gov/sites/dfiles/CFO/documents/BudgetinBrief_2020-02_06_Online.pdf Page 3.,
2020,"56,500,000,000",Department of Housing and Urban Development FY 2022 Budget in Brief. 2021 at https://www.hud.gov/sites/dfiles/CFO/documents/2022_Budget_in_Brief_FINAL.pdf  Page 2.,"44,100,000,000",Department of Housing and Urban Development FY 2020 Budget in Brief. 2019 at https://www.hud.gov/sites/dfiles/CFO/documents/HUD2020BudgetinBrief03072019Final.pdf Page 5.,
2019,"53,800,000,000",Department of Housing and Urban Development FY 2021 Budget in Brief. 2020 at https://www.hud.gov/sites/dfiles/CFO/documents/BudgetinBrief_2020-02_06_Online.pdf Page 3.,"40,271,000,000",Department of Housing and Urban Development FY 2019 Comparative Summary. 2018 at https://www.hud.gov/sites/dfiles/CFO/documents/2%20-%20FY19CJ%20-%20Dept.%20Summary%20-%20Budget%20Authority%20-%20Updated.pdf  Page 1-8.,
2018,"52,700,000,000",Department of Housing and Urban Development FY 2020 Budget in Brief. 2019 at https://www.hud.gov/sites/dfiles/CFO/documents/HUD2020BudgetinBrief03072019Final.pdf Page 5.,"39,715,000,000",Department of Housing and Urban Development FY 2018 Comparative Summary. 2017 at https://www.hud.gov/sites/documents/3-BUDG-AUTHORITY.PDF Page 1-9.,
2017,"60,734,000,000",Department of Housing and Urban Development FY 2019 Comparative Summary. 2018 at https://www.hud.gov/sites/dfiles/CFO/documents/2%20-%20FY19CJ%20-%20Dept.%20Summary%20-%20Budget%20Authority%20-%20Updated.pdf  Page 1-8.,"48,223,000,000",Department of Housing and Urban Development FY 2017 Comparative Summary. 2016 at https://www.hud.gov/sites/documents/1.1-BUDGET_AUTHORITY.PDF Page 1-7.,
2016,"48,843,000,000",Department of Housing and Urban Development FY 2018 Comparative Summary. 2017 at https://www.hud.gov/sites/documents/3-BUDG-AUTHORITY.PDF Page 1-9.,"48,349,000,000",Department of Housing and Urban Development FY 2016 Comparative Summary. 2015 at https://www.hud.gov/sites/documents/2-FY16CJ-BA.PDF  Page 1-8.,
2015,"44,115,000,000",Department of Housing and Urban Development FY 2017 Comparative Summary. 2016 at https://www.hud.gov/sites/documents/1.1-BUDGET_AUTHORITY.PDF Page 1-7.,"60,249,000,000",Department of Housing and Urban Development FY 2015 Comparative Summary. 2014 at https://www.hud.gov/sites/documents/FY15CJ_BDGT_AUTH_TBL.PDF Page B-6.,
2014,"42,679,000,000",Department of Housing and Urban Development FY 2016 Comparative Summary. 2015 at https://www.hud.gov/sites/documents/2-FY16CJ-BA.PDF  Page 1-8.,"47,213,000,000",Department of Housing and Urban Development FY 2014 Comparative Summary. 2013 at https://www.hud.gov/sites/documents/BUDGETAUTHORITY.PDF Page B-7.,
2013,"68,970,000,000",Department of Housing and Urban Development FY 2015 Comparative Summary. 2014 at https://www.hud.gov/sites/documents/FY15CJ_BDGT_AUTH_TBL.PDF Page B-6.,"44,010,000,000",Department of Housing and Urban Development FY 2013 Comparative Summary. 2012 at https://www.hud.gov/sites/documents/BUDGET-AUTHORITY-2013.PDF  Page B-7.,
2012,"40,117,000,000",Department of Housing and Urban Development FY 2014 Comparative Summary. 2013 at https://www.hud.gov/sites/documents/BUDGETAUTHORITY.PDF Page B-7.,"47,199,000,000",Department of Housing and Urban Development FY 2012 Comparative Summary. 2011 at https://www.hud.gov/sites/documents/BUDGET_AUTHORITY_2012.PDF Page B-8.,
2011,"48,528,000,000",Department of Housing and Urban Development FY 2013 Comparative Summary. 2012 at https://www.hud.gov/sites/documents/BUDGET-AUTHORITY-2013.PDF  Page B-7.,"48,913,000,000",Department of Housing and Urban Development FY 2012 Comparative Summary. 2011 at https://archives.hud.gov/budget/fy11/cjs/budget-authority2011.pdf Page B-8.,
2010,"45,088,000,000",Department of Housing and Urban Development FY 2012 Comparative Summary. 2011 at https://www.hud.gov/sites/documents/BUDGET_AUTHORITY_2012.PDF Page B-8.,"47,830,000,000",Department of Housing and Urban Development FY 2011 Comparative Summary. 2010 at https://archives.hud.gov/budget/fy10/cjs/budget-authority2010.pdf  Page B-9.,